origin,destination,sharedOutputCount,sharedOutput
https://uxmethods.org/method/StakeholderInterviewing,https://uxmethods.org/method/JourneyMapping,3,"https://uxmethods.org/taxonomy/BusinessGoals, https://uxmethods.org/taxonomy/SuccessMetrics, https://uxmethods.org/taxonomy/UserProfile"
https://uxmethods.org/method/StakeholderInterviewing,https://uxmethods.org/method/Storyboarding,2,"https://uxmethods.org/taxonomy/BusinessGoals, https://uxmethods.org/taxonomy/UserProfile"
https://uxmethods.org/method/StakeholderInterviewing,https://uxmethods.org/method/TaxonomyDesign,2,"https://uxmethods.org/taxonomy/BusinessGoals, https://uxmethods.org/taxonomy/UserProfile"
https://uxmethods.org/method/StakeholderInterviewing,https://uxmethods.org/method/UserInterviewing,2,"https://uxmethods.org/taxonomy/BusinessGoals, https://uxmethods.org/taxonomy/UserProfile"
https://uxmethods.org/method/DomainModeling,https://uxmethods.org/method/NavigationDesign,2,"https://uxmethods.org/taxonomy/ClassificationModel, https://uxmethods.org/taxonomy/ContentStructure"
https://uxmethods.org/method/DomainModeling,https://uxmethods.org/method/UsabilityTesting,2,"https://uxmethods.org/taxonomy/ClassificationModel, https://uxmethods.org/taxonomy/NavigationDesign"
https://uxmethods.org/method/Wireframing,https://uxmethods.org/method/A-BTesting,2,"https://uxmethods.org/taxonomy/ContentStructure, https://uxmethods.org/taxonomy/PageLayoutDesign"
https://uxmethods.org/method/TaskAnalysis,https://uxmethods.org/method/Wireframing,2,"https://uxmethods.org/taxonomy/MentalModel, https://uxmethods.org/taxonomy/UserGoals"
https://uxmethods.org/method/UserInterviewing,https://uxmethods.org/method/Wireframing,2,"https://uxmethods.org/taxonomy/MentalModel, https://uxmethods.org/taxonomy/UserGoals"
https://uxmethods.org/method/CardSorting,https://uxmethods.org/method/CategoryDesign,2,"https://uxmethods.org/taxonomy/MentalModel, https://uxmethods.org/taxonomy/UserPreference"
https://uxmethods.org/method/UserInterviewing,https://uxmethods.org/method/CategoryDesign,2,"https://uxmethods.org/taxonomy/MentalModel, https://uxmethods.org/taxonomy/UserPreference"
https://uxmethods.org/method/CardSorting,https://uxmethods.org/method/TaxonomyDesign,2,"https://uxmethods.org/taxonomy/MentalModel, https://uxmethods.org/taxonomy/UserPreference"
https://uxmethods.org/method/UserInterviewing,https://uxmethods.org/method/TaxonomyDesign,2,"https://uxmethods.org/taxonomy/MentalModel, https://uxmethods.org/taxonomy/UserPreference"
https://uxmethods.org/method/Wireframing,https://uxmethods.org/method/AccessibilityEvaluation,2,"https://uxmethods.org/taxonomy/NavigationDesign, https://uxmethods.org/taxonomy/PageLayoutDesign"
https://uxmethods.org/method/Wireframing,https://uxmethods.org/method/FirstClickTesting,2,"https://uxmethods.org/taxonomy/NavigationDesign, https://uxmethods.org/taxonomy/PageLayoutDesign"
https://uxmethods.org/method/Wireframing,https://uxmethods.org/method/Prototyping,2,"https://uxmethods.org/taxonomy/NavigationDesign, https://uxmethods.org/taxonomy/PageLayoutDesign"
https://uxmethods.org/method/Wireframing,https://uxmethods.org/method/UsabilityTesting,2,"https://uxmethods.org/taxonomy/NavigationDesign, https://uxmethods.org/taxonomy/PageLayoutDesign"
https://uxmethods.org/method/StakeholderInterviewing,https://uxmethods.org/method/CategoryDesign,1,https://uxmethods.org/taxonomy/BusinessGoals
https://uxmethods.org/method/StakeholderInterviewing,https://uxmethods.org/method/DomainModeling,1,https://uxmethods.org/taxonomy/BusinessGoals
https://uxmethods.org/method/StakeholderInterviewing,https://uxmethods.org/method/Prototyping,1,https://uxmethods.org/taxonomy/BusinessGoals
https://uxmethods.org/method/StakeholderInterviewing,https://uxmethods.org/method/StyleTileCreation,1,https://uxmethods.org/taxonomy/BusinessGoals
https://uxmethods.org/method/StakeholderInterviewing,https://uxmethods.org/method/Wireframing,1,https://uxmethods.org/taxonomy/BusinessGoals
https://uxmethods.org/method/CategoryDesign,https://uxmethods.org/method/NavigationDesign,1,https://uxmethods.org/taxonomy/ClassificationModel
https://uxmethods.org/method/TaxonomyDesign,https://uxmethods.org/method/NavigationDesign,1,https://uxmethods.org/taxonomy/ClassificationModel
https://uxmethods.org/method/CategoryDesign,https://uxmethods.org/method/UsabilityTesting,1,https://uxmethods.org/taxonomy/ClassificationModel
https://uxmethods.org/method/TaxonomyDesign,https://uxmethods.org/method/UsabilityTesting,1,https://uxmethods.org/taxonomy/ClassificationModel
https://uxmethods.org/method/CategoryDesign,https://uxmethods.org/method/Wireframing,1,https://uxmethods.org/taxonomy/ClassificationModel
https://uxmethods.org/method/DomainModeling,https://uxmethods.org/method/Wireframing,1,https://uxmethods.org/taxonomy/ClassificationModel
https://uxmethods.org/method/TaxonomyDesign,https://uxmethods.org/method/Wireframing,1,https://uxmethods.org/taxonomy/ClassificationModel
https://uxmethods.org/method/StyleTileCreation,https://uxmethods.org/method/AccessibilityEvaluation,1,https://uxmethods.org/taxonomy/ColorPalette
https://uxmethods.org/method/CompetitiveAnalysis,https://uxmethods.org/method/ContentAuditing,1,https://uxmethods.org/taxonomy/ContentQualityStandard
https://uxmethods.org/method/StakeholderInterviewing,https://uxmethods.org/method/ContentAuditing,1,https://uxmethods.org/taxonomy/ContentQualityStandard
https://uxmethods.org/method/ContentAuditing,https://uxmethods.org/method/A-BTesting,1,https://uxmethods.org/taxonomy/ContentStructure
https://uxmethods.org/method/DomainModeling,https://uxmethods.org/method/A-BTesting,1,https://uxmethods.org/taxonomy/ContentStructure
https://uxmethods.org/method/ContentAuditing,https://uxmethods.org/method/NavigationDesign,1,https://uxmethods.org/taxonomy/ContentStructure
https://uxmethods.org/method/Wireframing,https://uxmethods.org/method/NavigationDesign,1,https://uxmethods.org/taxonomy/ContentStructure
https://uxmethods.org/method/TaskAnalysis,https://uxmethods.org/method/CategoryDesign,1,https://uxmethods.org/taxonomy/MentalModel
https://uxmethods.org/method/CardSorting,https://uxmethods.org/method/DomainModeling,1,https://uxmethods.org/taxonomy/MentalModel
https://uxmethods.org/method/TaskAnalysis,https://uxmethods.org/method/DomainModeling,1,https://uxmethods.org/taxonomy/MentalModel
https://uxmethods.org/method/UserInterviewing,https://uxmethods.org/method/DomainModeling,1,https://uxmethods.org/taxonomy/MentalModel
https://uxmethods.org/method/TaskAnalysis,https://uxmethods.org/method/TaxonomyDesign,1,https://uxmethods.org/taxonomy/MentalModel
https://uxmethods.org/method/CardSorting,https://uxmethods.org/method/Wireframing,1,https://uxmethods.org/taxonomy/MentalModel
https://uxmethods.org/method/DomainModeling,https://uxmethods.org/method/AccessibilityEvaluation,1,https://uxmethods.org/taxonomy/NavigationDesign
https://uxmethods.org/method/NavigationDesign,https://uxmethods.org/method/AccessibilityEvaluation,1,https://uxmethods.org/taxonomy/NavigationDesign
https://uxmethods.org/method/DomainModeling,https://uxmethods.org/method/FirstClickTesting,1,https://uxmethods.org/taxonomy/NavigationDesign
https://uxmethods.org/method/NavigationDesign,https://uxmethods.org/method/FirstClickTesting,1,https://uxmethods.org/taxonomy/NavigationDesign
https://uxmethods.org/method/DomainModeling,https://uxmethods.org/method/Prototyping,1,https://uxmethods.org/taxonomy/NavigationDesign
https://uxmethods.org/method/NavigationDesign,https://uxmethods.org/method/Prototyping,1,https://uxmethods.org/taxonomy/NavigationDesign
https://uxmethods.org/method/NavigationDesign,https://uxmethods.org/method/UsabilityTesting,1,https://uxmethods.org/taxonomy/NavigationDesign
https://uxmethods.org/method/Scenarios,https://uxmethods.org/method/JourneyMapping,1,https://uxmethods.org/taxonomy/SuccessMetrics
https://uxmethods.org/method/UseCases,https://uxmethods.org/method/JourneyMapping,1,https://uxmethods.org/taxonomy/SuccessMetrics
https://uxmethods.org/method/ContextualInterviewing,https://uxmethods.org/method/PersonaCreation,1,https://uxmethods.org/taxonomy/UserBehavior
https://uxmethods.org/method/FirstClickTesting,https://uxmethods.org/method/PersonaCreation,1,https://uxmethods.org/taxonomy/UserBehavior
https://uxmethods.org/method/JourneyMapping,https://uxmethods.org/method/PersonaCreation,1,https://uxmethods.org/taxonomy/UserBehavior
https://uxmethods.org/method/Scenarios,https://uxmethods.org/method/PersonaCreation,1,https://uxmethods.org/taxonomy/UserBehavior
https://uxmethods.org/method/Storyboarding,https://uxmethods.org/method/PersonaCreation,1,https://uxmethods.org/taxonomy/UserBehavior
https://uxmethods.org/method/TaskAnalysis,https://uxmethods.org/method/PersonaCreation,1,https://uxmethods.org/taxonomy/UserBehavior
https://uxmethods.org/method/ContextualInterviewing,https://uxmethods.org/method/CardSorting,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/TaskAnalysis,https://uxmethods.org/method/CardSorting,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/UserInterviewing,https://uxmethods.org/method/CardSorting,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/ContextualInterviewing,https://uxmethods.org/method/CompetitiveAnalysis,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/TaskAnalysis,https://uxmethods.org/method/CompetitiveAnalysis,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/UserInterviewing,https://uxmethods.org/method/CompetitiveAnalysis,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/ContextualInterviewing,https://uxmethods.org/method/ContentAuditing,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/TaskAnalysis,https://uxmethods.org/method/ContentAuditing,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/UserInterviewing,https://uxmethods.org/method/ContentAuditing,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/ContextualInterviewing,https://uxmethods.org/method/JourneyMapping,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/TaskAnalysis,https://uxmethods.org/method/JourneyMapping,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/UserInterviewing,https://uxmethods.org/method/JourneyMapping,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/ContextualInterviewing,https://uxmethods.org/method/NavigationDesign,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/TaskAnalysis,https://uxmethods.org/method/NavigationDesign,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/UserInterviewing,https://uxmethods.org/method/NavigationDesign,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/ContextualInterviewing,https://uxmethods.org/method/Prototyping,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/TaskAnalysis,https://uxmethods.org/method/Prototyping,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/UserInterviewing,https://uxmethods.org/method/Prototyping,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/ContextualInterviewing,https://uxmethods.org/method/Scenarios,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/TaskAnalysis,https://uxmethods.org/method/Scenarios,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/UserInterviewing,https://uxmethods.org/method/Scenarios,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/ContextualInterviewing,https://uxmethods.org/method/Storyboarding,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/TaskAnalysis,https://uxmethods.org/method/Storyboarding,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/UserInterviewing,https://uxmethods.org/method/Storyboarding,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/ContextualInterviewing,https://uxmethods.org/method/UsabilityTesting,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/TaskAnalysis,https://uxmethods.org/method/UsabilityTesting,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/UserInterviewing,https://uxmethods.org/method/UsabilityTesting,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/ContextualInterviewing,https://uxmethods.org/method/UseCases,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/TaskAnalysis,https://uxmethods.org/method/UseCases,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/UserInterviewing,https://uxmethods.org/method/UseCases,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/ContextualInterviewing,https://uxmethods.org/method/Wireframing,1,https://uxmethods.org/taxonomy/UserGoals
https://uxmethods.org/method/A-BTesting,https://uxmethods.org/method/CategoryDesign,1,https://uxmethods.org/taxonomy/UserPreference
https://uxmethods.org/method/ContextualInterviewing,https://uxmethods.org/method/CategoryDesign,1,https://uxmethods.org/taxonomy/UserPreference
https://uxmethods.org/method/JourneyMapping,https://uxmethods.org/method/CategoryDesign,1,https://uxmethods.org/taxonomy/UserPreference
https://uxmethods.org/method/PersonaCreation,https://uxmethods.org/method/CategoryDesign,1,https://uxmethods.org/taxonomy/UserPreference
https://uxmethods.org/method/Prototyping,https://uxmethods.org/method/CategoryDesign,1,https://uxmethods.org/taxonomy/UserPreference
https://uxmethods.org/method/Storyboarding,https://uxmethods.org/method/CategoryDesign,1,https://uxmethods.org/taxonomy/UserPreference
https://uxmethods.org/method/UsabilityTesting,https://uxmethods.org/method/CategoryDesign,1,https://uxmethods.org/taxonomy/UserPreference
https://uxmethods.org/method/A-BTesting,https://uxmethods.org/method/StyleTileCreation,1,https://uxmethods.org/taxonomy/UserPreference
https://uxmethods.org/method/CardSorting,https://uxmethods.org/method/StyleTileCreation,1,https://uxmethods.org/taxonomy/UserPreference
https://uxmethods.org/method/ContextualInterviewing,https://uxmethods.org/method/StyleTileCreation,1,https://uxmethods.org/taxonomy/UserPreference
https://uxmethods.org/method/JourneyMapping,https://uxmethods.org/method/StyleTileCreation,1,https://uxmethods.org/taxonomy/UserPreference
https://uxmethods.org/method/PersonaCreation,https://uxmethods.org/method/StyleTileCreation,1,https://uxmethods.org/taxonomy/UserPreference
https://uxmethods.org/method/Prototyping,https://uxmethods.org/method/StyleTileCreation,1,https://uxmethods.org/taxonomy/UserPreference
https://uxmethods.org/method/Storyboarding,https://uxmethods.org/method/StyleTileCreation,1,https://uxmethods.org/taxonomy/UserPreference
https://uxmethods.org/method/UsabilityTesting,https://uxmethods.org/method/StyleTileCreation,1,https://uxmethods.org/taxonomy/UserPreference
https://uxmethods.org/method/UserInterviewing,https://uxmethods.org/method/StyleTileCreation,1,https://uxmethods.org/taxonomy/UserPreference
https://uxmethods.org/method/A-BTesting,https://uxmethods.org/method/TaxonomyDesign,1,https://uxmethods.org/taxonomy/UserPreference
https://uxmethods.org/method/ContextualInterviewing,https://uxmethods.org/method/TaxonomyDesign,1,https://uxmethods.org/taxonomy/UserPreference
https://uxmethods.org/method/JourneyMapping,https://uxmethods.org/method/TaxonomyDesign,1,https://uxmethods.org/taxonomy/UserPreference
https://uxmethods.org/method/PersonaCreation,https://uxmethods.org/method/TaxonomyDesign,1,https://uxmethods.org/taxonomy/UserPreference
https://uxmethods.org/method/Prototyping,https://uxmethods.org/method/TaxonomyDesign,1,https://uxmethods.org/taxonomy/UserPreference
https://uxmethods.org/method/Storyboarding,https://uxmethods.org/method/TaxonomyDesign,1,https://uxmethods.org/taxonomy/UserPreference
https://uxmethods.org/method/UsabilityTesting,https://uxmethods.org/method/TaxonomyDesign,1,https://uxmethods.org/taxonomy/UserPreference
https://uxmethods.org/method/StakeholderInterviewing,https://uxmethods.org/method/CardSorting,1,https://uxmethods.org/taxonomy/UserProfile
https://uxmethods.org/method/StakeholderInterviewing,https://uxmethods.org/method/ContextualInterviewing,1,https://uxmethods.org/taxonomy/UserProfile
https://uxmethods.org/method/StakeholderInterviewing,https://uxmethods.org/method/PersonaCreation,1,https://uxmethods.org/taxonomy/UserProfile
https://uxmethods.org/method/StakeholderInterviewing,https://uxmethods.org/method/Scenarios,1,https://uxmethods.org/taxonomy/UserProfile
https://uxmethods.org/method/StakeholderInterviewing,https://uxmethods.org/method/TaskAnalysis,1,https://uxmethods.org/taxonomy/UserProfile
https://uxmethods.org/method/StakeholderInterviewing,https://uxmethods.org/method/UseCases,1,https://uxmethods.org/taxonomy/UserProfile
